Date,Historical Adj Close,Volume,Daily New Cases,ROE,ROA,PM,EPS,Adj Close
2011-07--25 00:00:00,13.353186,23491750,0,1.7458,1.1396,10.2536,0.22,13.6068
2011-07--26 00:00:00,13.461877,24703747,0,1.7458,1.1396,10.2536,0.22,13.856394
2011-07--27 00:00:00,13.486032,29158272,0,1.7458,1.1396,10.2536,0.22,13.429673
2011-07--28 00:00:00,13.6068,28122336,0,1.7458,1.1396,10.2536,0.22,13.425646
2011-07--29 00:00:00,13.856394,17935474,0,1.7458,1.1396,10.2536,0.22,13.184106
2011-08--01 00:00:00,13.429673,25270423,0,1.7458,1.1396,10.2536,0.22,13.292798
2011-08--02 00:00:00,13.425646,28607278,0,1.7458,1.1396,10.2536,0.22,12.781538
2011-08--03 00:00:00,13.184106,35511221,0,1.7458,1.1396,10.2536,0.22,12.982821
2011-08--04 00:00:00,13.292798,41387782,0,1.7458,1.1396,10.2536,0.22,12.093147
2011-08--05 00:00:00,12.781538,57978914,0,1.7458,1.1396,10.2536,0.22,11.795245
2011-08--08 00:00:00,12.982821,60790910,0,1.7458,1.1396,10.2536,0.22,10.849211
2011-08--09 00:00:00,12.093147,53084592,0,1.7458,1.1396,10.2536,0.22,12.141454
2011-08--10 00:00:00,11.795245,75020299,0,1.7458,1.1396,10.2536,0.22,11.734861
2011-08--11 00:00:00,10.849211,53580463,0,1.7458,1.1396,10.2536,0.22,12.157557
2011-08--12 00:00:00,12.141454,36111398,0,1.7458,1.1396,10.2536,0.22,12.290404
2011-08--15 00:00:00,11.734861,29048738,0,1.7458,1.1396,10.2536,0.22,12.435328
2011-08--16 00:00:00,12.157557,18171886,0,1.7458,1.1396,10.2536,0.22,12.221967
2011-08--17 00:00:00,12.290404,20895257,0,1.7458,1.1396,10.2536,0.22,12.177685
2011-08--18 00:00:00,12.435328,20909513,0,1.7458,1.1396,10.2536,0.22,11.247753
2011-08--19 00:00:00,12.221967,39545194,0,1.7458,1.1396,10.2536,0.22,10.93375
2011-08--22 00:00:00,12.177685,39867617,0,1.7458,1.1396,10.2536,0.22,11.014262
2011-08--23 00:00:00,11.247753,24042269,0,1.7458,1.1396,10.2536,0.22,11.642268
2011-08--24 00:00:00,10.93375,26661096,0,1.7458,1.1396,10.2536,0.22,11.694603
2011-08--25 00:00:00,11.014262,24116400,0,1.7458,1.1396,10.2536,0.22,11.404755
2011-08--26 00:00:00,11.642268,26084441,0,1.7458,1.1396,10.2536,0.22,11.859655
2011-08--29 00:00:00,11.694603,29777458,0,1.7458,1.1396,10.2536,0.22,12.2743
2011-08--30 00:00:00,11.404755,27525485,0,1.7458,1.1396,10.2536,0.22,12.459482
2011-08--31 00:00:00,11.859655,28867212,0,1.7458,1.1396,10.2536,0.22,12.427278
2011-09--01 00:00:00,12.2743,30801989,0,1.7458,1.1396,10.2536,0.22,12.234044
2011-09--02 00:00:00,12.459482,23232528,0,1.7458,1.1396,10.2536,0.22,11.839526
2011-09--06 00:00:00,12.427278,18950738,0,1.7458,1.1396,10.2536,0.22,11.78317
2011-09--07 00:00:00,12.234044,23335409,0,1.7458,1.1396,10.2536,0.22,11.976399
2011-09--08 00:00:00,11.839526,32637924,0,1.7458,1.1396,10.2536,0.22,12.282353
2011-09--09 00:00:00,11.78317,32993374,0,1.7458,1.1396,10.2536,0.22,11.457087
2011-09--12 00:00:00,11.976399,47190924,0,1.7458,1.1396,10.2536,0.22,11.843553
2011-09--13 00:00:00,12.282353,39424968,0,1.7458,1.1396,10.2536,0.22,11.835502
2011-09--14 00:00:00,11.457087,22210135,0,1.7458,1.1396,10.2536,0.22,12.133402
2011-09--15 00:00:00,11.843553,33182266,0,1.7458,1.1396,10.2536,0.22,12.898281
2011-09--16 00:00:00,11.835502,40206434,0,1.7458,1.1396,10.2536,0.22,13.562517
2011-09--19 00:00:00,12.133402,65145406,0,1.7458,1.1396,10.2536,0.22,13.325003
2011-09--20 00:00:00,12.898281,44173642,0,1.7458,1.1396,10.2536,0.22,13.176055
2011-09--21 00:00:00,13.562517,32569733,0,1.7458,1.1396,10.2536,0.22,12.978794
2011-09--22 00:00:00,13.325003,43054546,0,1.7458,1.1396,10.2536,0.22,12.749332
2011-09--23 00:00:00,13.176055,46431792,0,1.7458,1.1396,10.2536,0.22,12.914385
2011-09--26 00:00:00,12.978794,37274926,0,1.7458,1.1396,10.2536,0.22,13.103591
2011-09--27 00:00:00,12.749332,34643268,0,1.7458,1.1396,10.2536,0.22,13.091515
2011-09--28 00:00:00,12.914385,33944962,0,1.7458,1.1396,10.2536,0.22,12.737254
2011-09--29 00:00:00,13.103591,29962073,0,1.7458,1.1396,10.2536,0.22,12.346764
2011-09--30 00:00:00,13.091515,40097614,0,1.7458,1.1396,10.2536,0.22,11.871733
2011-10--03 00:00:00,12.737254,41470229,0,3.0374,1.9718,16.5543,0.37,11.316189
2011-10--04 00:00:00,12.346764,40270586,0,3.0374,1.9718,16.5543,0.37,11.815372
2011-10--05 00:00:00,11.871733,41097910,0,3.0374,1.9718,16.5543,0.37,12.290404
2011-10--06 00:00:00,11.316189,36855324,0,3.0374,1.9718,16.5543,0.37,12.65674
2011-10--07 00:00:00,11.815372,34597411,0,3.0374,1.9718,16.5543,0.37,12.50779
2011-10--10 00:00:00,12.290404,31854557,0,3.0374,1.9718,16.5543,0.37,13.00295
2011-10--11 00:00:00,12.65674,17035445,0,3.0374,1.9718,16.5543,0.37,13.216312
2011-10--12 00:00:00,12.50779,24420053,0,3.0374,1.9718,16.5543,0.37,13.184106
2011-10--13 00:00:00,13.00295,33205788,0,3.0374,1.9718,16.5543,0.37,13.180079
2011-10--14 00:00:00,13.216312,28616544,0,3.0374,1.9718,16.5543,0.37,13.562517
2011-10--17 00:00:00,13.184106,30803177,0,3.0374,1.9718,16.5543,0.37,13.373312
2011-10--18 00:00:00,13.180079,26487886,0,3.0374,1.9718,16.5543,0.37,13.63498
2011-10--19 00:00:00,13.562517,29880814,0,3.0374,1.9718,16.5543,0.37,13.357208
2011-10--20 00:00:00,13.373312,45151603,0,3.0374,1.9718,16.5543,0.37,12.942564
2011-10--21 00:00:00,13.63498,61238549,0,3.0374,1.9718,16.5543,0.37,12.930488
2011-10--24 00:00:00,13.357208,30860201,0,3.0374,1.9718,16.5543,0.37,13.031129
2011-10--25 00:00:00,12.942564,25372829,0,3.0374,1.9718,16.5543,0.37,12.749332
2011-10--26 00:00:00,12.930488,24712538,0,3.0374,1.9718,16.5543,0.37,12.511817
2011-10--27 00:00:00,13.031129,30035016,0,3.0374,1.9718,16.5543,0.37,12.998922
2011-10--28 00:00:00,12.749332,30768962,0,3.0374,1.9718,16.5543,0.37,13.385388
2011-10--31 00:00:00,12.511817,28338077,0,3.0374,1.9718,16.5543,0.37,12.813743
2011-11--01 00:00:00,12.998922,30198960,0,3.0374,1.9718,16.5543,0.37,12.435328
2011-11--02 00:00:00,13.385388,37817604,0,3.0374,1.9718,16.5543,0.37,12.793613
2011-11--03 00:00:00,12.813743,28238285,0,3.0374,1.9718,16.5543,0.37,13.304876
2011-11--04 00:00:00,12.435328,28224029,0,3.0374,1.9718,16.5543,0.37,13.168002
2011-11--07 00:00:00,12.793613,22653259,0,3.0374,1.9718,16.5543,0.37,13.071384
2011-11--08 00:00:00,13.304876,16550741,0,3.0374,1.9718,16.5543,0.37,13.25254
2011-11--09 00:00:00,13.168002,15510290,0,3.0374,1.9718,16.5543,0.37,12.552073
2011-11--10 00:00:00,13.071384,22491216,0,3.0374,1.9718,16.5543,0.37,12.37897
2011-11--11 00:00:00,13.25254,44684006,0,3.0374,1.9718,16.5543,0.37,12.785563
2011-11--14 00:00:00,12.552073,17874648,0,3.0374,1.9718,16.5543,0.37,12.644664
2011-11--15 00:00:00,12.37897,13317005,0,3.0374,1.9718,16.5543,0.37,12.660767
2011-11--16 00:00:00,12.785563,19938679,0,3.0374,1.9718,16.5543,0.37,12.29443
2011-11--17 00:00:00,12.644664,18453204,0,3.0374,1.9718,16.5543,0.37,11.936143
2011-11--18 00:00:00,12.660767,29821651,0,3.0374,1.9718,16.5543,0.37,12.000555
2011-11--21 00:00:00,12.29443,29241194,0,3.0374,1.9718,16.5543,0.37,11.573832
2011-11--22 00:00:00,11.936143,31871664,0,3.0374,1.9718,16.5543,0.37,11.690577
2011-11--23 00:00:00,12.000555,21106721,0,3.0374,1.9718,16.5543,0.37,11.49332
2011-11--25 00:00:00,11.573832,25604964,0,3.0374,1.9718,16.5543,0.37,11.364498
2011-11--28 00:00:00,11.690577,8259214,0,3.0374,1.9718,16.5543,0.37,11.94017
2011-11--29 00:00:00,11.49332,22601938,0,3.0374,1.9718,16.5543,0.37,11.573832
2011-11--30 00:00:00,11.364498,31937004,0,3.0374,1.9718,16.5543,0.37,11.91199
2011-12--01 00:00:00,11.94017,28644106,0,3.0374,1.9718,16.5543,0.37,11.948219
2011-12--02 00:00:00,11.573832,19756915,0,3.0374,1.9718,16.5543,0.37,11.916016
2011-12--05 00:00:00,11.91199,22117709,0,3.0374,1.9718,16.5543,0.37,12.35884
2011-12--06 00:00:00,11.948219,23860030,0,3.0374,1.9718,16.5543,0.37,12.439356
2011-12--07 00:00:00,11.916016,21542004,0,3.0374,1.9718,16.5543,0.37,12.455458
2011-12--08 00:00:00,12.35884,20853677,0,3.0374,1.9718,16.5543,0.37,12.491687
2011-12--09 00:00:00,12.439356,40049381,0,3.0374,1.9718,16.5543,0.37,12.737254
2011-12--12 00:00:00,12.455458,29707841,0,3.0374,1.9718,16.5543,0.37,12.531945
2011-12--13 00:00:00,12.491687,24804490,0,3.0374,1.9718,16.5543,0.37,12.4152
2011-12--14 00:00:00,12.737254,23789225,0,3.0374,1.9718,16.5543,0.37,12.185736
2011-12--15 00:00:00,12.531945,24553346,0,3.0374,1.9718,16.5543,0.37,11.916016
2011-12--16 00:00:00,12.4152,28422662,0,3.0374,1.9718,16.5543,0.37,12.23807
2011-12--19 00:00:00,12.185736,39352262,0,3.0374,1.9718,16.5543,0.37,11.984452
2011-12--20 00:00:00,11.916016,27107071,0,3.0374,1.9718,16.5543,0.37,12.330659
2011-12--21 00:00:00,12.23807,21269002,0,3.0374,1.9718,16.5543,0.37,12.213913
2011-12--22 00:00:00,11.984452,19208297,0,3.0374,1.9718,16.5543,0.37,12.32261
2011-12--23 00:00:00,12.330659,15128230,0,3.0374,1.9718,16.5543,0.37,12.4152
2011-12--27 00:00:00,12.213913,8047512,0,3.0374,1.9718,16.5543,0.37,12.447406
2011-12--28 00:00:00,12.32261,8119030,0,3.0374,1.9718,16.5543,0.37,12.242095
2011-12--29 00:00:00,12.4152,9680537,0,3.0374,1.9718,16.5543,0.37,12.221967
2011-12--30 00:00:00,12.447406,13083682,0,3.0374,1.9718,16.5543,0.37,12.20989
2012-01--03 00:00:00,12.242095,8769103,0,3.0374,1.9718,16.5543,0.37,12.616485
2012-01--04 00:00:00,12.221967,25156850,0,11.0374,7.2438,58.5503,1.51,12.141454
2012-01--05 00:00:00,12.20989,78181092,0,11.0374,7.2438,58.5503,1.51,12.362866
2012-01--06 00:00:00,12.616485,31470358,0,11.0374,7.2438,58.5503,1.51,12.330659
2012-01--09 00:00:00,12.141454,17417506,0,11.0374,7.2438,58.5503,1.51,12.282353
2012-01--10 00:00:00,12.362866,18989230,0,11.0374,7.2438,58.5503,1.51,12.560124
2012-01--11 00:00:00,12.330659,22115808,0,11.0374,7.2438,58.5503,1.51,12.688946
2012-01--12 00:00:00,12.282353,22324421,0,11.0374,7.2438,58.5503,1.51,12.713101
2012-01--13 00:00:00,12.560124,20653855,0,11.0374,7.2438,58.5503,1.51,12.326635
2012-01--17 00:00:00,12.688946,29121444,0,11.0374,7.2438,58.5503,1.51,12.290404
2012-01--18 00:00:00,12.713101,34327973,0,11.0374,7.2438,58.5503,1.51,12.213913
2012-01--19 00:00:00,12.326635,74910528,0,11.0374,7.2438,58.5503,1.51,12.68492
2012-01--20 00:00:00,12.290404,58984438,0,11.0374,7.2438,58.5503,1.51,12.853998
2012-01--23 00:00:00,12.213913,31011790,0,11.0374,7.2438,58.5503,1.51,12.878152
